eartag,species,date,dpi,barn,od1,od2,delete,od_avg,sn,status,notes2,expt
277,Caprine,29/3/2022,0,2,1.229,1.095,N,1.162,79.29034459,Neg,,
286,Caprine,29/3/2022,0,2,1.245,1.146,N,1.1955,81.57625384,Neg,,
296,Caprine,29/3/2022,0,2,1.322,1.21,N,1.266,86.38689867,Neg,,
279,Caprine,29/3/2022,0,3,1.281,1.185,N,1.233,84.13510747,Neg,,
289,Caprine,29/3/2022,0,3,1.334,1.232,N,1.283,87.54691232,Neg,,
292,Caprine,29/3/2022,0,3,1.09,1.085,N,1.0875,74.20675537,Neg,,
282,Caprine,29/3/2022,0,5,0.947,1.063,P,1.005,68.57727738,Neg,,Negative Control
288,Caprine,29/3/2022,0,5,1.112,1.181,N,1.1465,78.23268509,Neg,,Negative Control
297,Caprine,29/3/2022,0,5,1.194,1.221,N,1.2075,82.395087,Neg,,Negative Control
299,Caprine,29/3/2022,0,6,1.124,1.343,N,1.2335,84.16922552,Neg,,
300,Caprine,29/3/2022,0,6,1.219,1.22,N,1.2195,83.21392016,Neg,,
301,Caprine,29/3/2022,0,6,1.188,1.201,N,1.1945,81.50801774,Neg,,
277,Caprine,30/3/2022,1,2,1.176,1.202,N,1.189,81.13271921,Neg,,
286,Caprine,30/3/2022,1,2,1.087,1.147,N,1.117,76.21972023,Neg,,
296,Caprine,30/3/2022,1,2,1.242,1.202,N,1.222,83.38451041,Neg,,
279,Caprine,30/3/2022,1,3,1.219,1.175,N,1.197,81.67860798,Neg,,
289,Caprine,30/3/2022,1,3,1.225,1.239,N,1.232,84.06687137,Neg,,
292,Caprine,30/3/2022,1,3,1.063,0.959,N,1.011,68.98669396,Neg,,
282,Caprine,30/3/2022,1,5,0.972,0.876,P,0.924,63.05015353,Neg,,Negative Control
288,Caprine,30/3/2022,1,5,1.202,1.184,N,1.193,81.4056636,Neg,,Negative Control
297,Caprine,30/3/2022,1,5,1.2,1.191,N,1.1955,81.57625384,Neg,,Negative Control
299,Caprine,30/3/2022,1,6,1.23,1.222,N,1.226,83.65745479,Neg,,
300,Caprine,30/3/2022,1,6,1.179,1.105,N,1.142,77.92562265,Neg,,
301,Caprine,30/3/2022,1,6,1.173,1.112,N,1.1425,77.9597407,Neg,,
277,Caprine,1/4/2022,3,2,1.177,1.164,N,1.1705,79.87035142,Neg,,
286,Caprine,1/4/2022,3,2,1.086,1.112,N,1.099,74.99147049,Neg,,
296,Caprine,1/4/2022,3,2,1.233,1.18,N,1.2065,82.3268509,Neg,,
279,Caprine,1/4/2022,3,3,1.125,1.162,N,1.1435,78.0279768,Neg,,
289,Caprine,1/4/2022,3,3,1.189,1.214,N,1.2015,81.98567042,Neg,,
292,Caprine,1/4/2022,3,3,1.07,1.047,N,1.0585,72.22790856,Neg,,
282,Caprine,1/4/2022,3,5,1.301,1.35,N,1.3255,90.44694643,Neg,,Negative Control
288,Caprine,1/4/2022,3,5,1.234,1.235,N,1.2345,84.23746162,Neg,,Negative Control
297,Caprine,1/4/2022,3,5,1.169,1.171,N,1.17,79.83623337,Neg,,Negative Control
299,Caprine,1/4/2022,3,6,1.06,1.031,N,1.0455,71.3408393,Neg,,
300,Caprine,1/4/2022,3,6,0.948,0.93,P,0.939,64.07369498,Neg,,
301,Caprine,1/4/2022,3,6,1.117,1.137,N,1.127,76.9020812,Neg,,
277,Caprine,3/4/2022,5,2,1.301,1.231,N,1.266,83.75785643,Neg,,
286,Caprine,3/4/2022,5,2,1.163,1.166,N,1.1645,77.04267284,Neg,,
296,Caprine,3/4/2022,5,2,1.305,1.252,N,1.2785,84.58484949,Neg,,
279,Caprine,3/4/2022,5,3,1.223,1.217,N,1.22,80.714522,Neg,,
289,Caprine,3/4/2022,5,3,1.244,1.246,N,1.245,82.3685081,Neg,,
292,Caprine,3/4/2022,5,3,1.061,1.012,N,1.0365,68.57426398,Neg,,
282,Caprine,3/4/2022,5,5,0.988,1.107,P,1.0475,69.30201786,Neg,,Negative Control
288,Caprine,3/4/2022,5,5,1.13,1.123,N,1.1265,74.52861396,Neg,,Negative Control
297,Caprine,3/4/2022,5,5,1.643,1.621,N,1.632,107.972213,Neg,,Negative Control
299,Caprine,3/4/2022,5,6,1.122,1.315,N,1.2185,80.61528283,Neg,,
300,Caprine,3/4/2022,5,6,1.298,1.275,N,1.2865,85.11412504,Neg,,
301,Caprine,3/4/2022,5,6,1.213,1.223,N,1.218,80.58220311,Neg,,
277,Caprine,5/4/2022,7,2,1.032,1.04,N,1.036,68.54118425,Neg,,
286,Caprine,5/4/2022,7,2,0.388,0.385,P,0.3865,25.57062521,Pos,,
296,Caprine,5/4/2022,7,2,0.211,0.944,P,0.5775,38.20707906,Pos,,
279,Caprine,5/4/2022,7,3,0.427,0.419,P,0.423,27.98544492,Pos,,
289,Caprine,5/4/2022,7,3,0.431,0.403,P,0.417,27.58848826,Pos,,
292,Caprine,5/4/2022,7,3,0.371,0.395,P,0.383,25.33906715,Pos,,
282,Caprine,5/4/2022,7,5,1.144,1.223,N,1.1835,78.29970228,Neg,,Negative Control
288,Caprine,5/4/2022,7,5,0.944,1.002,P,0.973,64.37313927,Neg,,Negative Control
297,Caprine,5/4/2022,7,5,1.162,1.151,N,1.1565,76.51339729,Neg,,Negative Control
299,Caprine,5/4/2022,7,6,1.218,1.242,N,1.23,81.37611644,Neg,,
300,Caprine,5/4/2022,7,6,1.067,1.074,N,1.0705,70.82368508,Neg,,
301,Caprine,5/4/2022,7,6,1.185,1.201,N,1.193,78.928217,Neg,,
277,Caprine,8/4/2022,10,2,,,,,,,,
286,Caprine,8/4/2022,10,2,0.104,0.105,P,0.1045,6.913661925,Pos,,
296,Caprine,8/4/2022,10,2,0.081,0.092,P,0.0865,5.722791929,Pos,,
279,Caprine,8/4/2022,10,3,,,,,,,,
289,Caprine,8/4/2022,10,3,0.108,0.107,P,0.1075,7.112140258,Pos,,
292,Caprine,8/4/2022,10,3,0.108,0.11,P,0.109,7.211379424,Pos,,
282,Caprine,8/4/2022,10,5,1.302,1.287,N,1.2945,85.6434006,Neg,,Negative Control
288,Caprine,8/4/2022,10,5,1.011,1.033,N,1.022,67.61495203,Neg,,Negative Control
297,Caprine,8/4/2022,10,5,0.889,1.216,P,1.0525,69.63281508,Neg,,Negative Control
299,Caprine,8/4/2022,10,6,1.159,1.226,N,1.1925,78.89513728,Neg,,
300,Caprine,8/4/2022,10,6,,,,,,,,
301,Caprine,8/4/2022,10,6,1.28,1.291,N,1.2855,85.0479656,Neg,,
277,Caprine,10/4/2022,12,2,,,,,,,,
286,Caprine,10/4/2022,12,2,0.127,0.133,P,0.13,8.600727754,Pos,,
296,Caprine,10/4/2022,12,2,,,,,,,,
279,Caprine,10/4/2022,12,3,,,,,,,,
289,Caprine,10/4/2022,12,3,0.192,0.184,P,0.188,12.43797552,Pos,,
292,Caprine,10/4/2022,12,3,,,,,,,,
282,Caprine,10/4/2022,12,5,1.155,1.179,N,1.167,77.20807145,Neg,,Negative Control
288,Caprine,10/4/2022,12,5,1.066,1.071,N,1.0685,70.69136619,Neg,,Negative Control
297,Caprine,10/4/2022,12,5,1.28,1.291,N,1.2855,85.0479656,Neg,,Negative Control
299,Caprine,10/4/2022,12,6,,,,,,,,
300,Caprine,10/4/2022,12,6,,,,,,,,
301,Caprine,10/4/2022,12,6,1.011,1.152,N,1.0815,71.55143897,Neg,,
